handle,user_id,total,active_user,kernel,GMV
albertocevallos,124957,6480585234000000000000,585234000000000000,0,6480000000000000000000
owocki,3221,8007641666299999993856,1475680000000000000000,51961666299999993856,6480000000000000000000
wendy111,63201,6508160000000000000000,28160000000000000000,0,6480000000000000000000
coincenter,105615,6480307815000000000000,307815000000000000,0,6480000000000000000000
thegivingblock,66425,6491700000000000000000,11700000000000000000,0,6480000000000000000000
ethereum,25,5196466798000000204800,0,0,5196466798000000204800
vs77bb,697,3939804270000000040960,276459999999999967232,144000000000000000000,3519344270000000073728
eeks,28361,3402199504000000196608,171920000000000000000,0,3230279504000000196608
blockscout,28364,3204635366000000237568,0,0,3204635366000000237568
andrecronje,73877,3146595831999999967232,33750000000000000000,0,3112845831999999967232
ceresstation,4142,3310794889899999856640,323210000000000000000,13940934900000000000,2973643954999999856640
ryanseanadams,66213,2906281529999999696896,5850000000000000000,0,2900431529999999696896
neil-lowry,63189,2849526481999999991808,69910000000000000000,0,2779616481999999991808
sassal,26608,2688234375000000233472,138470000000000000000,0,2549764375000000233472
meanderson,91143,2546868187999999754240,1020000000000000000,0,2545848187999999754240
eduadiez,66102,2164163022999999676416,49950000000000000000,0,2114213022999999676416
brockelmore,47320,2039296420000000049152,1070000000000000000,0,2038226420000000049152
griffgreen,8521,2365989798999999774720,407940000000000000000,0,1958049798999999774720
terencechain,4078,1936413619999999983616,6750000000000000000,0,1929663619999999983616
defidefidefi,125268,1746391209000000131072,292617000000000000,0,1746098592000000131072
timbeiko,17665,1704365006000000073728,13000000000000000000,0,1691365006000000073728
androolloyd,3379,1753433732599999938560,42910000000000000000,32951300600000004096,1677572431999999934464
austintgriffith,3871,1749534781499999924224,48580000000000000000,29149227499999997952,1671805553999999926272
statussceptre,7718,1715255799999999967232,123830000000000000000,0,1591425799999999967232
palm-lee,91177,1603684555000000086016,27250000000000000000,0,1576434555000000086016
evanvannesseth,66150,1724082376999999963136,155250000000000000000,0,1568832376999999963136
pedrouid,3993,1594656695999999901696,38460000000000000000,0,1556196695999999901696
ricmoo,4907,1562190385999999795200,75660000000000000000,0,1486530385999999795200
tarasbob,58768,1570289214000000073728,86430000000000000000,0,1483859214000000073728
samczsun,75475,1478712345000000028672,1190000000000000000,0,1477522345000000028672
poapxyz,67142,1507002629999999778816,61430000000000000000,0,1445572629999999778816
writercami,72966,1459483447999999967232,45550000000000000000,0,1413933447999999967232
deacix,19830,1378907476999999848448,13000000000000000000,0,1365907476999999848448
paulhauner,3925,1363688844999999815680,6750000000000000000,0,1356938844999999815680
igorbarinov,23158,1352292984000000032768,48600000000000000000,0,1303692984000000032768
lefterisjp,106,1329325244000000020480,32200000000000004096,0,1297125244000000016384
orcklahekk,119243,1271329728999999930368,0,0,1271329728999999930368
ganejacks,73868,1236444019000000053248,13830000000000000000,0,1222614019000000053248
cej3ogveis,119237,1201933868000000081920,0,0,1201933868000000081920
ubipromoter,66543,1223943873000000061440,53100000000000000000,0,1170843873000000061440
kibagateaux,2174,1130642372999999979520,13830000000000000000,0,1116812372999999979520
cdetrio,101,1106988153999999959040,1570000000000000000,0,1105418153999999959040
kittehdesign,131850,1087429831000000036736,1139999999999999872,0,1086289831000000036864
cedriking,63587,1046726759999999901696,10410000000000000000,0,1036316759999999901696
trinsys,125271,1026325878000000012288,292617000000000000,0,1026033261000000012288
professorjey,137899,1015104305999999885312,285302000000000000,0,1014819003999999885312
befitsandpiper,88305,959167601499999940608,349355000000000000,0,958818246499999940608
danfinlay,145,999640994499999956992,40840000000000000000,0,958800994499999956992
philh,45987,1036722550000000106496,88110000000000000000,0,948612550000000106496
nopslip,73077,1027289990099999981568,80930000000000000000,0,946359990099999981568
chrxn,126562,926598272199999954944,585234000000000000,0,926013038199999954944
ryanberckmans,68981,943452945200000008192,26520000000000000000,0,916932945200000008192
onxl,125134,919953533300000030720,3220000000000000000,0,916733533300000030720
dryajov,7902,904410792100000038912,2440000000000000000,0,901970792100000038912
tgerring,80064,906328490700000067584,5280000000000000000,0,901048490700000067584
apbendi,63448,1005613588199999983616,79530000000000000000,25347154299999997952,900736433899999985664
tkstanczak,7890,983786370099999997952,84150000000000000000,0,899636370099999997952
snjax,67299,903356927800000052736,4389999999999999488,0,898966927800000053248
fzeoli,48085,901269637400000004096,5370000000000000000,0,895899637400000004096
robind57,85211,912513548199999975424,5510000000000000000,19010365700000002048,887993182499999973376
artnome,125366,888994636300000034816,2340000000000000000,0,886654636300000034816
bunsen8000,112953,882232379899999907840,307815000000000000,0,881924564899999907840
zherring,5256,919075979009999955968,37200000000000000000,8871504010000001024,873004474999999954944
wjjameslee,110332,873448770699999965184,615631000000000000,0,872833139699999965184
tradde9,125199,872308322899999981568,1460000000000000000,0,870848322899999981568
trufflesuite,95,870220319100000010240,0,0,870220319100000010240
coinlord7,125156,864656764700000067584,585234000000000000,0,864071530700000067584
arweave-sophie,62823,865996152999999963136,3400000000000000000,0,862596152999999963136
br909095,121818,862627115800000040960,292617000000000000,0,862334498800000040960
scaletechnology,114535,853087514500000022528,900360000000000000,0,852187154500000022528
forecastfoundation,114192,847128425499999928320,600240000000000000,0,846528185499999928320
cryptojohnjohn,125205,846436873500000067584,585234000000000000,0,845851639500000067584
mayweallprosper,125308,846267737000000036864,585234000000000000,0,845682503000000036864
megazord88,125212,845975120000000036864,292617000000000000,0,845682503000000036864
suwe23,114530,846282743000000036864,600240000000000000,0,845682503000000036864
syficzx,125263,846267737000000036864,585234000000000000,0,845682503000000036864
e1lbisviia,119245,845682503000000036864,0,0,845682503000000036864
dlko231434m,125234,844099057899999956992,292617000000000000,0,843806440899999956992
chenjonathanli,125054,840039105299999985664,292617000000000000,0,839746488299999985664
tokic13,74125,840601491800000036864,1220000000000000000,0,839381491800000036864
defi-dad,77430,992534826999999954944,168550000000000000000,0,823984826999999954944
lnzrwcaq5a,119242,817471042099999932416,0,0,817471042099999932416
rstormsf,7081,812246538000000024576,5630000000000000000,0,806616538000000024576
arhkxmapje,119234,806504738800000040960,0,0,806504738800000040960
bonustrack,71632,839899825899999920128,39210000000000000000,0,800689825899999920128
stirling,110634,788235927799999979520,923446000000000000,0,787312481799999979520
cryptogambit,84228,788353114900000014464,1100000000000000128,0,787253114900000014336
katiejohnson,50606,778547057599999967232,1570000000000000000,0,776977057599999967232
epsylon75,125186,776729801800000020480,585234000000000000,0,776144567800000020480
0xtangerine,125202,771390151600000045056,292617000000000000,0,771097534600000045056
bneiluj,613,795574252699999928320,34460000000000000000,0,761114252699999928320
siddigzeidan,19316,767198435999999983616,6220000000000000000,0,760978435999999983616
nikitamashkov,83584,779857768499999932416,20580000000000000000,0,759277768499999932416
udxy6gibjx,119241,754286042999999954944,0,0,754286042999999954944
kaiynne,64456,805172864999999995904,51230000000000000000,0,753942864999999995904
altvest,125172,753711738300000043008,1170000000000000000,0,752541738300000043008
anettrolikova,60163,773584927799999987712,35240000000000000000,0,738344927799999987712
defidude,71724,789867458699999969280,60480000000000000000,0,729387458699999969280
muskaankalra24,88982,725669689399999987712,9780000000000000000,0,715889689399999987712
kweiss,93408,727706559500000100352,17270000000000000000,0,710436559500000100352
josh2k,91634,710267058200000069632,1360000000000000000,0,708907058200000069632
mikemcdonald,373,697756002400000081920,21210000000000000000,0,676546002400000081920
arnetheduck,66316,673241011900000014336,450009000000000000,0,672791002900000014336
aceking2021,124979,668631778099999903744,292617000000000000,0,668339161099999903744
gasperx93,72179,659940634800000009216,8130000000000001024,0,651810634800000008192
collinvine,1516,652502359299999924480,2240000000000000256,0,650262359299999924224
tedko,68767,661245672800000016384,16680000000000000000,0,644565672800000016384
tayboonsiang90,77746,624949840000000049152,386588000000000000,0,624563252000000049152
timimpalacrypto,125298,622327109200000028672,292617000000000000,0,622034492200000028672
tina1998612,5955,627164492200000028672,5130000000000000000,0,622034492200000028672
syroamst,85640,627739107600000024576,6450000000000000000,0,621289107600000024576
tjayrush,620,782963495099999987712,155460000000000000000,10138861700000000000,617364633399999987712
fubuloubu,5473,643713827099999993856,27580000000000000000,0,616133827099999993856
alexeyakhunov,57434,620779800600000070656,8380000000000001024,0,612399800600000069632
arrose,29173,629242607400000028672,18180000000000000000,0,611062607400000028672
vfatouros,93304,620569908799999901696,19930000000000000000,0,600639908799999901696
abhimanyu121,59294,608382697800000012288,8910000000000000000,0,599472697800000012288
sandeepnailwal,80370,601708358300000059392,7920000000000000000,0,593788358300000059392
casperdefisearch,125151,595044548800000032768,1460000000000000000,0,593584548800000032768
scco,21528,611904555300000038912,40690000000000000000,0,571214555300000038912
antiprosynthesis,7929,574438464400000024576,5490000000000000000,0,568948464400000024576
vrortvedt,63379,647202268900000006144,80470000000000000000,0,566732268900000006144
cpstl,7364,578104487600000008192,12510000000000000000,0,565594487600000008192
claberus,69578,566995311900000059392,8980000000000000000,0,558015311900000059392
miguelzf,125300,569893716499999948800,13460000000000000000,0,556433716499999948800
okduncan,6829,596232879700000047104,46910000000000000000,0,549322879700000047104
tomafc330,67218,557677877500000010240,10090000000000000000,0,547587877500000010240
theode69,85719,544842617600000008192,716626000000000000,0,544125991600000008192
to391,125247,533986438400000036864,292617000000000000,0,533693821400000036864
thesachinmittal,5019,682599326799999991808,9870000000000000000,144000000000000000000,528729326799999991808
voskcoin,98189,538633859300000071680,14890000000000000000,0,523743859300000071680
stonecoldpat,69451,525528672700000043008,2140000000000000000,0,523388672700000043008
peterbitfly,8373,542304588200000028672,25610000000000000000,0,516694588200000028672
mul1sh,6262,558052641400000020480,42530000000000000000,0,515522641400000020480
mdben1247,72084,537483547699999997952,26430000000000000000,0,511053547699999997952
nataleferrara,91653,509632254799999971328,681243000000000000,0,508951011799999971328
notaquant,122130,507994735799999995904,585234000000000000,0,507409501799999995904
nmson88,125243,508869501799999995904,1460000000000000000,0,507409501799999995904
samcamwilliams,59716,497683702400000000000,3580000000000000000,0,494103702400000000000
paulrberg,5552,587069791799999987712,99420000000000000000,0,487649791799999987712
debase-v87,125175,488493865800000012288,1170000000000000000,0,487323865800000012288
marczeller,5276,510126382000000008192,31430000000000000000,0,478696382000000008192
arboreum-github,77714,496431177100000034816,25510000000000000000,0,470921177100000034816
diglos,69213,498536700099999956992,29520000000000000000,0,469016700099999956992
mds1,7479,645341378799999991808,158230000000000000000,20277723500000002048,466833655299999989760
andreujuanc,90288,468779784499999997952,2040000000000000000,0,466739784499999997952
willruddick,77600,466117226199999971328,1550000000000000000,0,464567226199999971328
johannbarbie,5269,479708863000000004096,21170000000000000000,0,458538863000000004096
cswenor,23447,490180143100000010240,14690000000000000000,17743008000000000000,457747135100000010240
porobov,59336,536048610400000008192,62340000000000000000,16475650300000002048,457232960100000006144
alexvotofuture,26579,498130162300000010240,41260000000000000000,0,456870162300000010240
mareeng,7869,459655632800000049152,3050000000000000000,0,456605632800000049152
connoroday,12535,517539330999999987712,63180000000000000000,0,454359330999999987712
skale-ethberlin,64724,455872359800000020480,2310000000000000000,0,453562359800000020480
octaviaan,63606,488236233099999961088,1890000000000000000,34218658300000002048,452127574799999959040
yox0fee7b7,119238,448807594499999989760,0,0,448807594499999989760
vlzhr,65698,450161509299999997952,2250000000000000000,0,447911509299999997952
koeppelmann,2651,467523576100000038912,19870000000000000000,0,447653576100000038912
danlipert,7766,482762042200000036864,40030000000000000000,0,442732042200000036864
bit-7,134223,759872034400000016384,317540000000000000000,0,442332034400000016384
dreamsfulfilled,125188,441830058999999963136,585234000000000000,0,441244824999999963136
jabyl,84518,455924901500000012288,16170000000000002048,0,439754901500000010240
iamonuwa,4452,533111603099999993856,99860000000000000000,0,433251603099999993856
kanika1799,66400,435131387999999950848,3150000000000000000,0,431981387999999950848
markspereira,60127,436809882599999995904,6130000000000000000,0,430679882599999995904
scbuergel,36239,445462290800000040960,14880000000000000000,0,430582290800000040960
sepu85,73055,440533777100000002048,11790000000000000000,0,428743777100000002048
papiofficial,101183,432500891399999979520,5370000000000000000,0,427130891399999979520
auryn-macmillan,62432,498835204500000014336,46610000000000000000,26614512000000000000,425610692500000014336
unikeys-tech,69479,425292759700000006144,427790000000000000,0,424864969700000006144
0xcnt,125324,423639428300000010240,585234000000000000,0,423054194300000010240
jaredpolites,125338,423133868500000018432,292617000000000000,0,422841251500000018432
krasops,125153,423133868500000018432,292617000000000000,0,422841251500000018432
rsderek,123541,423133868500000018432,292617000000000000,0,422841251500000018432
yalormewn,9530,531041251500000018432,108200000000000000000,0,422841251500000018432
themandalore,1907,427150254499999973888,4480000000000000512,0,422670254499999973376
youngkidwarrior,20926,461637938400000016384,39560000000000000000,0,422077938400000016384
robdefeo,68134,429948740000000049152,12290000000000000000,0,417658740000000049152
princesinha19,71369,420475782999999971328,3750000000000000000,0,416725782999999971328
ghettodev,3504,429612673500000026624,17300000000000000000,0,412312673500000026624
paolorebuffo,72705,414848925199999959040,2850000000000000000,0,411998925199999959040
lkngtn,2413,443722632799999950848,33490000000000000000,0,410232632799999950848
ethworks,8828,409181280300000018432,0,0,409181280300000018432
zyra-zia,78036,408815223500000002048,2320000000000000000,0,406495223500000002048
kashmar88,125283,406735408199999983616,292617000000000000,0,406442791199999983616
web3foundation,54032,470322326900000030720,66000000000000000000,0,404322326900000030720
pet3r-pan,23645,428704029799999995904,24870000000000000000,0,403834029799999995904
mikedeshazer,68449,465360492200000004096,10970000000000000000,50694308599999995904,403696183600000008192
cojocaru,80973,434903853100000002048,3390000000000000000,32951300600000004096,398562552499999997952
jierdin,73581,403265818000000024576,5290000000000000000,0,397975818000000024576
bakaoh,2551,445539504000000000000,48270000000000000000,0,397269504000000000000
taosue,75433,408917327799999987712,20220000000000000000,0,388697327799999987712
andytudhope,10878,594337291199999967232,62430000000000000000,144000000000000000000,387907291199999967232
jinglan,32574,392783811200000000000,6610000000000000000,0,386173811200000000000
mauerv,56243,397514949599999985664,1050000000000000000,13940934900000000000,382524014699999985664
bflynn4141,69586,387238277199999991808,5130000000000000000,0,382108277199999991808
jchi18,91145,381115624099999973376,1700000000000000000,0,379415624099999973376
sanchaymittal,62640,384753932699999993856,5340000000000000000,0,379413932699999993856
crisog,78075,379231883799999987712,386588000000000000,0,378845295799999987712
mjamilbashir99,90283,377312053499999997952,340621000000000000,0,376971432499999997952
nya-elimuai,89379,377320787499999997952,349355000000000000,0,376971432499999997952
guistf,59536,382081432499999997952,5110000000000000000,0,376971432499999997952
fernandomartinelli,71098,396362813699999989760,23360000000000000000,0,373002813699999989760
andrewkeysconsensys,66694,390329580000000016384,21600000000000000000,0,368729580000000016384
sergiodemianlerner,68055,370247473100000001536,4389999999999999488,0,365857473100000002048
unitimeshq,74980,365565081099999989760,396501000000000000,0,365168580099999989760
reubenb13,94495,365577675900000010240,2320000000000000000,0,363257675900000010240
nodar,67029,475288283400000045056,112320000000000000000,0,362968283400000045056
dmihal,2288,448650604699999993856,85900000000000000000,0,362750604699999993856
pooltogether-team,73120,374345928600000004096,11790000000000000000,0,362555928600000004096
ferranrego,62087,383982536499999997952,21910000000000000000,0,362072536499999997952
merwane,66550,368735769399999987712,6750000000000000000,0,361985769399999987712
hodldwon,67106,404781041700000038912,45630000000000000000,0,359151041700000038912
rabmarut,106357,356149870199999983616,307815000000000000,0,355842055199999983616
sydneylai,77851,357116651199999967232,1930000000000000000,0,355186651199999967232
rune23,91637,354480993800000032768,340621000000000000,0,354140372800000032768
anonusergitcoin65-apfm2iez1kj9qtqrpsvbhxgvr9ccakbx,86188,353911613099999989760,358313000000000000,0,353553300099999989760
futuretechboss,63068,352524879199999950848,485520000000000000,0,352039359199999950848
disruptionjoe,91395,364951028000000049152,18390000000000000000,0,346561028000000049152
king-st,107636,341341800400000020480,307815000000000000,0,341033985400000020480
likepeas,125210,338565618200000040960,292617000000000000,0,338273001200000040960
nic4242,125258,338565618200000040960,292617000000000000,0,338273001200000040960
pixelantdesign,1386,434763001200000040960,96490000000000000000,0,338273001200000040960
benjaminion,17668,381457761700000038912,44080000000000000000,0,337377761700000038912
manualzuru,72635,368383873400000016384,34159999999999995904,0,334223873400000020480
jtraversa,88781,351005450700000002048,25850000000000000000,0,325155450700000002048
lorelei1,72477,359043672099999969280,36189999999999995904,0,322853672099999973376
bshater,125337,316100739000000024576,292617000000000000,0,315808122000000024576
headiextb,125333,311309778499999993856,292617000000000000,0,311017161499999993856
kingofitall,125211,311602395499999993856,585234000000000000,0,311017161499999993856
xx2122,125245,311309778499999993856,292617000000000000,0,311017161499999993856
rekpero,60665,320717161499999993856,9700000000000000000,0,311017161499999993856
briangu33,72907,318614732900000005120,8539999999999998976,0,310074732900000006144
haydenadams,26637,312760783899999993856,6780000000000000000,0,305980783899999993856
gnosispm,110559,306489169000000020480,923446000000000000,0,305565723000000020480
iamdefinitelyahuman,63553,312662001999999991808,7100000000000000000,0,305562001999999991808
pipermerriam,26,310972965400000004096,11280000000000000000,0,299692965400000004096
