handle,value_created_usd,distribution
gitcoinbot,1511196.49,initial
owocki,620854.82,initial
wendy111,545901.68,initial
thegivingblock,385501.50,initial
eeks,240503.63,initial
ethereum,208077.16,initial
ganejacks,194231.65,initial
blockscout,184043.41,initial
andrecronje,176197.01,initial
ceresstation,169478.95,initial
sassal,116270.38,initial
brockelmore,115375.16,initial
vs77bb,110303.01,initial
ryanseanadams,107095.19,initial
timbeiko,106971.49,initial
tina1998612,105528.52,initial
androolloyd,101787.75,initial
cdetrio,98630.39,initial
paulhauner,92822.22,initial
samczsun,91850.00,initial
austintgriffith,88662.08,initial
arunphilips,84021.03,initial
deacix,81602.38,initial
eduadiez,79288.48,initial
statussceptre,75228.23,initial
igorbarinov,73172.18,initial
terencechain,71811.79,initial
evanvannesseth,70351.56,initial
cedriking,69719.76,initial
griffgreen,64550.43,initial
ricmoo,61812.70,initial
tgerring,53250.00,initial
apbendi,51868.70,initial
trufflesuite,51087.23,initial
meanderson,50000.40,initial
palm-lee,50000.40,initial
zherring,48786.29,initial
rstormsf,46938.33,initial
katiejohnson,45898.15,initial
nopslip,44466.36,initial
lefterisjp,43850.37,initial
siddigzeidan,43786.82,initial
neil-lowry,43355.00,initial
binancefellowshipgrants,43005.75,initial
dryajov,42799.88,initial
pedrouid,42778.53,initial
ubipromoter,41198.07,initial
thesachinmittal,39102.08,initial
josh2k,38000.00,initial
arweave-sophie,37845.25,initial
vrortvedt,36712.13,initial
alexeyakhunov,36155.48,initial
tjayrush,34768.97,initial
futuretechboss,33543.34,initial
alexvotofuture,33471.19,initial
sandeepnailwal,33345.00,initial
snjax,31554.60,initial
connoroday,31125.86,initial
adlerjohn,31056.94,initial
stonecoldpat,30658.83,initial
arboreum-github,30626.50,initial
defi-dad,29980.79,initial
yoavw,29888.08,initial
cpstl,28991.75,initial
nicholasnicky,28972.84,initial
nataleferrara,28500.00,initial
scbuergel,28451.95,initial
iamonuwa,27977.49,initial
poapxyz,26621.73,initial
web3foundation,26359.13,initial
cswenor,25742.17,initial
fubuloubu,25656.57,initial
markspereira,25484.06,initial
antiprosynthesis,25375.46,initial
ribbonblockchainrsa,25141.66,initial
unikeys-tech,25012.59,initial
anettrolikova,24700.63,initial
robdefeo,24657.68,initial
porobov,24517.61,initial
youngkidwarrior,24342.55,initial
themandalore,24302.49,initial
vlzhr,24298.00,initial
makoto,24183.97,initial
bneiluj,24051.65,initial
ethworks,24033.56,initial
willruddick,23998.68,initial
lkngtn,23934.50,initial
jonsnowwhitepaper,23673.58,initial
abhimanyu121,23622.74,initial
scco,23259.68,initial
anonusergitcoin65-apfm2iez1kj9qtqrpsvbhxgvr9ccakbx,23039.86,initial
tedko,23019.92,initial
jinglan,23012.35,initial
ghettodev,22874.96,initial
mauerv,22714.61,initial
marczeller,22304.50,initial
taosue,22288.95,initial
nya-elimuai,22288.00,initial
pet3r-pan,22027.99,initial
befitsandpiper,21920.00,initial
writercami,21886.16,initial
johannbarbie,21852.89,initial
tkstanczak,21766.26,initial
jchi18,21685.35,initial
pipermerriam,21281.26,initial
hodldwon,21138.75,initial
nodar,21054.05,initial
bakaoh,20926.73,initial
bram00767,20912.49,initial
arrose,20749.70,initial
defidude,20718.02,initial
andrewkeysconsensys,20102.27,initial
paolorebuffo,19831.97,initial
paulrberg,19484.97,initial
bonustrack,19187.85,initial
mul1sh,19043.29,initial
national-applied-research,18984.40,initial
haydenadams,18943.55,initial
kaiynne,18859.55,initial
samparsky,18734.68,initial
dmihal,18355.14,initial
collinvine,18109.75,initial
daisocola,17522.17,initial
atlanticcrypto,17350.00,initial
harshrajat,17001.78,initial
unitimeshq,16970.40,initial
zoek1,16839.74,initial
rockmanr,16833.94,initial
ferranrego,16682.01,initial
anonusergitcoin36-parklqhclkyzx4xp6ycehrcfmbwryirt,16519.02,initial
anonusergitcoin6-grn3mhi0pkhr4bpqdae4nndytq37shdp,16519.02,initial
anonusergitcoin70-0y3ifc1elzfn8iupxypm3geixwsex6vb,16519.02,initial
anonusergitcoin82-xqe9cxgu1ttaukqle7uair38r9bpnp7j,16519.02,initial
ivanmolto,16429.83,initial
bluzelle-team,16021.08,initial
5chdn,16005.15,initial
sergiodemianlerner,15878.80,initial
jas0n-f,15750.00,initial
anneconnelly,15651.89,initial
pixelantdesign,15623.86,initial
atoulme,15421.67,initial
danbainbridge,15399.70,initial
afriblockchain,15365.48,initial
princesinha19,15310.00,initial
theperegrineco,15184.70,initial
nekomeowww,15000.00,initial
donateeth,14998.00,initial
zyfrank,14963.42,initial
guistf,14943.16,initial
jasoons,14886.69,initial
trustlessstate0x,14524.77,initial
icinsight,14364.52,initial
octaviaan,14311.80,initial
danlipert,14157.03,initial
mariapaulafn,14154.59,initial
itsbdell,14080.52,initial
sanchaymittal,13848.27,initial
medvedev1088,13521.17,initial
juliebissinger,13500.48,initial
mds1,13456.20,initial
geleeroyale,13371.51,initial
aswilson13,13304.77,initial
madeoftin,13254.50,initial
jaspervdm,13106.28,initial
auryn-macmillan,13014.26,initial
stevenjnpearce,12902.81,initial
econoar,12822.88,initial
diglos,12780.97,initial
merwane,12637.40,initial
shazow,12592.35,initial
canokaue,12384.60,initial
jesssloss,12248.35,initial
crypcade,12246.15,initial
ditchfieldcaleb,12228.71,initial
tomafc330,12097.16,initial
nanspro,12084.86,initial
pauliax,12065.20,initial
gokulsan,12000.00,initial
jay-prime,11936.99,initial
arnetheduck,11772.24,initial
curadai,11689.72,initial
anonusergitcoin26-f0gjajd4pk2m4r2yxrlvemzou0iquznp,11682.25,initial
anonusergitcoin67-lk9ra3lohr7uevgi93aib7d1tcqxlqjm,11682.25,initial
rekpero,11569.98,initial
gitcointorch,11536.00,initial
jsdu,11366.55,initial
avive,11279.80,initial
sydneylai,11159.29,initial
tarasbob,11085.15,initial
dan-nolan,10905.92,initial
villanuevawill,10849.36,initial
okduncan,10829.54,initial
musnit,10817.36,initial
pinkiebell,10519.89,initial
kfichter,10489.59,initial
mzargham,10472.37,initial
paulgambill,10393.61,initial
penandlim,10332.90,initial
jaschlan,10283.70,initial
sneg55,10258.25,initial
yanivtal,10231.66,initial
ethwarrior,10190.10,initial
hthillman,10143.54,initial
mikaellazarev,10030.21,initial
jvanoers,10000.00,initial
linhan,9900.00,initial
emilianobonassi,9727.87,initial
nasehim7,9709.02,initial
adamsc1-ddg,9547.28,initial
eswarasai,9544.11,initial
mikemcdonald,9501.70,initial
cseproton,9500.00,initial
kristofferjon,9500.00,initial
gregthegreek,9323.02,initial
man-jain,9311.14,initial
cryptomental,9297.91,initial
nionis,9267.97,initial
nukemandan,9256.05,initial
cloudydata,9168.36,initial
hexpumpseth3,9142.16,initial
spencer12noon,9140.90,initial
anonusergitcoin46-e5xobkeuavkwew5yuorfglar4lznz0xg,9126.76,initial
innoprenuer,8828.83,initial
x5engine,8772.79,initial
andytudhope,8769.17,initial
michaelcohen716,8757.02,initial
willyogo,8718.20,initial
kweiss,8662.63,initial
lorelei1,8643.13,initial
nazariyv,8532.99,initial
defigod1,8325.00,initial
k-ho,8200.28,initial
jon-tompkins,8059.93,initial
timdaub,7987.81,initial
siddharth-j,7958.01,initial
i1skn,7933.70,initial
benjaminion,7788.32,initial
rodgz1622,7784.91,initial
anish-agnihotri,7753.83,initial
artob,7750.32,initial
0xeffalt,7750.16,initial
liquidityvision,7722.08,initial
twwle,7700.74,initial
aliatiia,7664.32,initial
amxx,7626.13,initial
luukdao,7605.28,initial
vbstreetz,7549.69,initial
jwasinger,7501.37,initial
thefallentree,7500.96,initial
think-in-universe,7476.32,initial
denhampreen,7421.43,initial
viraja1,7372.36,initial
0zand1z,7345.60,initial
mswilkison,7333.96,initial
andrealanfranchi,7323.96,initial
aquiladev,7247.47,initial
mattnumber,7186.22,initial
hashmap,7148.00,initial
