handle,real_name,bio,gtc_address,profile_link,image
yalormewn,Yalor Arnold,https://gov.gitcoin.co/t/introducing-stewards-governance/41/2,0x66b1De0f14a0ce971F7f248415063D44CAF19398,https://gitcoin.co/yalormewn,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/yalor/120/39_2.png
anettrolikova,Anett Rolikova,https://gov.gitcoin.co/t/introducing-stewards-governance/41/3,0x16D2AD8Cc04888b537bB7B631715335a901B57cA,https://gitcoin.co/anettrolikova,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/anett/120/22_2.png
lefterisjp,Lefteris Karapetsas,https://gov.gitcoin.co/t/introducing-stewards-governance/41/4,0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,https://gitcoin.co/lefterisjp,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/lefterisjp/120/24_2.png
simona-pop,Simona Pop,https://gov.gitcoin.co/t/introducing-stewards-governance/41/5,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,https://gitcoin.co/simona-pop,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/pop/120/23_2.png
linda-xie,Linda Xie,https://gov.gitcoin.co/t/introducing-stewards-governance/41/6,0x5e349eca2dc61aBCd9dD99Ce94d04136151a09Ee,https://gitcoin.co/linda-xie,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/linda/120/26_2.png
amsos,Aaron,https://gov.gitcoin.co/t/introducing-stewards-governance/41/7,0x58f123BD4261EA25955B362Be57D89F4B6E7110a,https://gitcoin.co/amsos,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/amsos/120/25_2.png
muskaankalra24,Muskan Kalra,https://gov.gitcoin.co/t/introducing-stewards-governance/41/8,0x4Bc519F0b7b348FaE780Afb2DD4aa76841bA8e9e,https://gitcoin.co/muskaankalra24,https://avatars.discourse-cdn.com/v4/letter/m/7ea924/120.png
fireeyesxyz,Cooper Turley,https://gov.gitcoin.co/t/introducing-stewards-governance/41/9,0xD23aff9aD562C445BCaB03321CBfE63bf4b0BcF2,https://gitcoin.co/fireeyesxyz,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/coopahtroopa/120/28_2.png
mrbrucespringsteen,Matt Stephenson,https://gov.gitcoin.co/t/introducing-stewards-governance/41/10,0x5BA02f4Ff6Af1d9d2Af8774D10fD32Eb57d4E2E6,https://gitcoin.co/mrbrucespringsteen,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/planckmatt/120/29_2.png
pet3r-pan,Peter,https://gov.gitcoin.co/t/introducing-stewards-governance/41/11,0x71553dF14eFe2708BF16734AAB821af239A24d3B,https://gitcoin.co/pet3r-pan,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/pet3rpan/120/30_2.png
tvanepps,Trenton Van Epps,https://gov.gitcoin.co/t/introducing-stewards-governance/41/12,0x4C0a466DF0628FE8699051b3Ac6506653191cc21,https://gitcoin.co/tvanepps,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/trent/120/32_2.png
anneconnelly,Anne Connelly,https://gov.gitcoin.co/t/introducing-stewards-governance/41/13,0xA30Ab83e693Ad49F3F651085DaD11d049c818923,https://gitcoin.co/anneconnelly,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/anneconnelly/120/34_2.png
nkennethk,Kenneth Ng,https://gov.gitcoin.co/t/introducing-stewards-governance/41/14,0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,https://gitcoin.co/nkennethk,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/ken/120/36_2.png
ubipromoter,Philip Silva,https://gov.gitcoin.co/t/introducing-stewards-governance/41/15,0xd9ffaF2e880dF0cc7B7104e9E789d281a81824cf,https://gitcoin.co/ubipromoter,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/ubipromoter/120/38_2.png
tjayrush,Thomas Jay Rush,https://gov.gitcoin.co/t/introducing-stewards-governance/41/16,0xf503017d7baf7fbc0fff7492b751025c6a78179b,https://gitcoin.co/tjayrush,https://sjc2.discourse-cdn.com/standard11/user_avatar/gov.gitcoin.co/tjayrush/120/41_2.png
