handle,token_proportion,tokens
albertocevallos,2.00%,6480
owocki,2.00%,6480
wendy111,2.00%,6480
coincenter,2.00%,6480
thegivingblock,2.00%,6480
ethereum,1.60%,5196.466798
vs77bb,1.09%,3519.34427
eeks,1.00%,3230.279504
blockscout,0.99%,3204.635366
andrecronje,0.96%,3112.845832
ceresstation,0.92%,2973.643955
ryanseanadams,0.90%,2900.43153
neil-lowry,0.86%,2779.616482
sassal,0.79%,2549.764375
meanderson,0.79%,2545.848188
eduadiez,0.65%,2114.213023
brockelmore,0.63%,2038.22642
griffgreen,0.60%,1958.049799
terencechain,0.60%,1929.66362
defidefidefi,0.54%,1746.098592
timbeiko,0.52%,1691.365006
androolloyd,0.52%,1677.572432
austintgriffith,0.52%,1671.805554
statussceptre,0.49%,1591.4258
palm-lee,0.49%,1576.434555
evanvannesseth,0.48%,1568.832377
pedrouid,0.48%,1556.196696
ricmoo,0.46%,1486.530386
tarasbob,0.46%,1483.859214
samczsun,0.46%,1477.522345
poapxyz,0.45%,1445.57263
writercami,0.44%,1413.933448
deacix,0.42%,1365.907477
paulhauner,0.42%,1356.938845
igorbarinov,0.40%,1303.692984
lefterisjp,0.40%,1297.125244
orcklahekk,0.39%,1271.329729
ganejacks,0.38%,1222.614019
cej3ogveis,0.37%,1201.933868
ubipromoter,0.36%,1170.843873
kibagateaux,0.34%,1116.812373
cdetrio,0.34%,1105.418154
kittehdesign,0.34%,1086.289831
cedriking,0.32%,1036.31676
trinsys,0.32%,1026.033261
professorjey,0.31%,1014.819004
peterg0p59,0.31%,989.9637182
befitsandpiper,0.30%,958.8182465
danfinlay,0.30%,958.8009945
philh,0.29%,948.61255
nopslip,0.29%,946.3599901
chrxn,0.29%,926.0130382
ryanberckmans,0.28%,916.9329452
onxl,0.28%,916.7335333
dryajov,0.28%,901.9707921
tgerring,0.28%,901.0484907
apbendi,0.28%,900.7364339
tkstanczak,0.28%,899.6363701
snjax,0.28%,898.9669278
fzeoli,0.28%,895.8996374
robind57,0.27%,887.9931825
artnome,0.27%,886.6546363
bunsen8000,0.27%,881.9245649
zherring,0.27%,873.004475
wjjameslee,0.27%,872.8331397
tradde9,0.27%,870.8483229
trufflesuite,0.27%,870.2203191
coinlord7,0.27%,864.0715307
arweave-sophie,0.27%,862.596153
br909095,0.27%,862.3344988
scaletechnology,0.26%,852.1871545
forecastfoundation,0.26%,846.5281855
cryptojohnjohn,0.26%,845.8516395
mayweallprosper,0.26%,845.682503
megazord88,0.26%,845.682503
suwe23,0.26%,845.682503
syficzx,0.26%,845.682503
e1lbisviia,0.26%,845.682503
dlko231434m,0.26%,843.8064409
chenjonathanli,0.26%,839.7464883
tokic13,0.26%,839.3814918
defi-dad,0.25%,823.984827
lnzrwcaq5a,0.25%,817.4710421
rstormsf,0.25%,806.616538
arhkxmapje,0.25%,806.5047388
bonustrack,0.25%,800.6898259
stirling,0.24%,787.3124818
cryptogambit,0.24%,787.2531149
katiejohnson,0.24%,776.9770576
epsylon75,0.24%,776.1445678
oujsuryur4,0.24%,775.7983454
0xtangerine,0.24%,771.0975346
bneiluj,0.23%,761.1142527
siddigzeidan,0.23%,760.978436
nikitamashkov,0.23%,759.2777685
udxy6gibjx,0.23%,754.286043
kaiynne,0.23%,753.942865
altvest,0.23%,752.5417383
anettrolikova,0.23%,738.3449278
defidude,0.23%,729.3874587
muskaankalra24,0.22%,715.8896894
kweiss,0.22%,710.4365595
josh2k,0.22%,708.9070582
mikemcdonald,0.21%,676.5460024
arnetheduck,0.21%,672.7910029
aceking2021,0.21%,668.3391611
gasperx93,0.20%,651.8106348
collinvine,0.20%,650.2623593
tedko,0.20%,644.5656728
tayboonsiang90,0.19%,624.563252
timimpalacrypto,0.19%,622.0344922
tina1998612,0.19%,622.0344922
syroamst,0.19%,621.2891076
tjayrush,0.19%,617.3646334
fubuloubu,0.19%,616.1338271
alexeyakhunov,0.19%,612.3998006
arrose,0.19%,611.0626074
vfatouros,0.19%,600.6399088
abhimanyu121,0.19%,599.4726978
sandeepnailwal,0.18%,593.7883583
