handle,token_proportion,tokens
vs77bb,2.00%,144
thesachinmittal,2.00%,144
andytudhope,2.00%,144
wschwab,2.00%,144
ethereum-push-notification-service,2.00%,144
polats,1.98%,128.003129
nglglhtr,1.66%,107.725406
JAlexandraH,2.43%,157.152357
nazariyv,2.27%,147.013495
magentaceiba,1.43%,92.5171132
HaroldDavis3,1.43%,92.5171132
Simona-Pop,1.82%,117.864268
solsista,1.80%,116.59691
EmanHerawy,1.62%,105.19069
valmack,1.99%,129.270487
BFLOio,2.13%,138.141991
benlakoff,1.49%,96.3191864
cawfree,1.13%,73.5067475
lostcodingsomewhere,1.13%,73.5067475
SLRead,1.10%,70.9720321
adrianleb,0.84%,54.4963818
hollygrimm,0.84%,54.4963818
MKLusaka,0.61%,39.2880892
annaalexakr,0.59%,38.0207315
realchainlife,0.57%,36.7533738
ciciaran,0.27%,17.743008
RebeccaMqamelo,0.23%,15.2082926
bitsikka,1.13%,73.5067475
rachblondon,1.31%,84.9129669
dmats,1.25%,81.1108938
johnx25bd,1.19%,77.3088207
noslav,1.17%,76.0414629
lpfloyd,1.15%,74.7741052
lovevolv,1.10%,70.9720321
mikery,1.10%,70.9720321
annaliese-milano,0.16%,10.1388617
WilfredTA,1.08%,69.7046744
ethereum-push-notification-service,1.06%,68.4373166
Godtide,1.02%,65.9026012
Jtraversa,1.02%,65.9026012
marvinjanssen,1.00%,64.6352435
rghadamian,0.92%,59.5658126
Sladuca,0.92%,59.5658126
biancasama,0.90%,58.2984549
jennifertrin,0.84%,54.4963818
tarun1475,1.33%,86.1803247
N/A,1.31%,84.9129669
owocki,0.80%,51.9616663
mikedeshazer,0.78%,50.6943086
Lukaskywalk,0.76%,49.4269509
acolytec3,0.76%,49.4269509
ricktobacco,0.76%,49.4269509
martinetlee,0.74%,48.1595932
cyan-one,0.74%,48.1595932
ebunayo,0.74%,48.1595932
alexmasmej,0.74%,48.1595932
maxgrok,0.74%,48.1595932
azf20,0.72%,46.8922355
jjperezaguinaga,0.72%,46.8922355
dmolina79,0.70%,45.6248778
N/A,0.66%,43.0901623
hello-shreyas,0.65%,41.8228046
Nicca42,0.47%,30.4165852
kPatch,0.45%,29.1492275
spape,0.35%,22.8124389
samuel-casey,0.35%,22.8124389
zayirey,0.33%,21.5450812
robind57,0.29%,19.0103657
ethanchiasson,0.29%,19.0103657
