handle,user_id,total,active_user,kernel,GMV
wendy111,63201,216895083599999986040832,895083599999999934464,0,216000000000000016777216
albertocevallos,124957,216022362600000014254080,22362600000000000000,0,216000000000000016777216
owocki,-3221,246299176493459999555584,28567119999999001231360,1732056493460999897088,216000000000000016777216
coincenter,105615,184177759999999992659968,11760000000000000000,0,184166000000000002621440
thegivingblock,66425,181494000899998013718528,371900899998999969792,0,181122099999998987993088
not_found,25,129661669520000002555904,2192670000000000065536,4799999519999999868928,122669000000000007077888
vs77bb,-697,124196879519997988175872,7399279999999000182784,4799999519999999868928,111997599999998992318464
eeks,28361,116600969999998993301504,4901369999999000117248,0,111699600000000005767168
andrecronje,73877,104715959999998998872064,1067760000000000000000,0,103648199999999000444928
ceresstation,-4142,110384706620195992502272,8823610000000000458752,464696620196999921664,101096399999998997037056
neil-lowry,63189,90739389999999004704768,1865740000000000131072,0,88873649999998993039360
ryanseanadams,66213,87762550199999002574848,201820200000000000000,0,87560729999999007457280
sassal,26608,85941539999999003197440,3266870000000000065536,0,82674669999998992646144
meanderson,91143,73730023399999001329664,37793400000000000000,0,73692229999998997102592
brockelmore,47320,68279271099999000199168,30211100000000000000,0,68249059999998996905984
eduadiez,66102,67204939999997996302336,1472109999998999986176,0,65732829999998999461888
griffgreen,8521,72216459999999000838144,8880569999999000117248,0,63335890000000002818048
defidefidefi,125268,58964779999998999789568,11180000000000000000,0,58953599999998997561344
timbeiko,17665,58821595099997998678016,348745099999000002560,0,58472849999998998282240
androolloyd,3379,60133492356829004431360,764895800000000032768,1098376556828999942144,58270220000000003276800
terencechain,4078,56537044699998997970944,127454700000000000000,0,56409589999998997626880
austintgriffith,3871,57581369902836003897344,1140190000000000065536,971639902835999899648,55469540000000003538944
statussceptre,7718,58999099999999999606784,4051480000000000262144,0,54947620000000001441792
palm-lee,91177,55559011099999995953152,876371100000000016384,0,54682640000000001572864
evanvannesseth,66150,57262299999998002069504,4604649999999000117248,0,52657649999998999330816
tarasbob,58768,53743479999999999213568,2243510000000000065536,0,51499970000000001245184
samczsun,75475,50431045100000000344064,44695100000000000000,0,50386350000000001376256
ricmoo,4907,49435860000000001966080,1402630000000000065536,0,48033229999999996133376
pedrouid,3993,48516421700000002605056,870351700000000049152,0,47646070000000000065536
deacix,19830,47645060899999997493248,348100899999999983616,0,47296960000000002097152
igorbarinov,23158,46476440000000002359296,1264320000000000000000,0,45212120000000000262144
paulhauner,3925,44981831899998995873792,182811900000000016384,0,44799019999998999789568
writercami,72966,45421989999999996395520,1412310000000000065536,0,44009680000000003670016
ganejacks,73868,42357280699999997394944,463120700000000016384,0,41894160000000001572864
lefterisjp,106,41498836599997999349760,588986599999000018944,0,40909849999998999068672
kibagateaux,2174,38760851699997998055424,237851699999000002560,0,38522999999999000969216
cdetrio,101,37906491999999999606784,43192000000000000000,0,37863300000000002490368
kittehdesign,131850,36165087199999998033920,43607200000000000000,0,36121480000000000786432
cedriking,63587,36091654700000000081920,328614700000000016384,0,35763040000000001048576
poapxyz,67142,37531639999999999213568,1822409999999999934464,0,35709230000000001376256
trinsys,125271,35383339999999998033920,11180000000000000000,0,35372160000000000000000
ubipromoter,66543,36418300000000001703936,1595400000000000000000,0,34822900000000000917504
professorjey,137899,34467959999999000969216,10900000000000000000,0,34457059999999001100288
befitsandpiper,88305,33432625599998999920640,13015600000000000000,0,33419609999999001165824
danfinlay,145,33965311399998999494656,900821400000000032768,0,33064489999999000641536
philh,45987,35053499999997998923776,2080679999998999920640,0,32972819999999001624576
nopslip,-73077,34626569999997999251456,2353209999999000117248,0,32273359999999001231360
chrxn,126562,31982083600000000983040,21803600000000000000,0,31960280000000000262144
ryanberckmans,68981,32651028499998001070080,698278499999000035328,0,31952749999999001034752
onxl,125134,31560636399998998675456,121876400000000000000,0,31438759999999001493504
dryajov,7902,31499257800000001802240,92647800000000000000,0,31406610000000000720896
tgerring,80064,31594738599999999836160,198998600000000000000,0,31395740000000000655360
robind57,85211,31722097636631000383488,183507699999000002560,633679936631999954944,30904910000000000327680
apbendi,63448,33736856582175999393792,2124089999999999934464,844906582175999852544,30767860000000000917504
artnome,125366,30821554299998998364160,87214300000000000000,0,30734339999999000051712
fzeoli,48085,30883699899997999857664,153319899999000002560,0,30730379999999000838144
bunsen8000,112953,30440879999998998085632,11760000000000000000,0,30429119999998999658496
zherring,5256,31598298437060665540608,879431799998999953408,295716637061666635776,30423149999999999279104
wjjameslee,110332,30376332599998998904832,22362600000000000000,0,30353969999999001427968
tradde9,125199,30387707099999998312448,55627100000000000000,0,30332080000000000524288
coinlord7,125156,30088413099999998509056,22083100000000000000,0,30066330000000001507328
arweave-sophie,62823,30026098000000001769472,116338000000000000000,0,29909760000000000000000
br909095,121818,29714699999999999082496,11180000000000000000,0,29703520000000001048576
scaletechnology,114535,29539534400000001835008,33264400000000000000,0,29506270000000001900544
forecastfoundation,114192,29506214199998998904832,23524200000000000000,0,29482689999998998806528
cryptojohnjohn,125205,29499162599999001329664,22362600000000000000,0,29476799999998999658496
mayweallprosper,125308,29499162599999001329664,22362600000000000000,0,29476799999998999658496
megazord88,125212,29487979999999001886720,11180000000000000000,0,29476799999998999658496
suwe23,114530,29499162599999001329664,22362600000000000000,0,29476799999998999658496
syficzx,125263,29499162599999001329664,22362600000000000000,0,29476799999998999658496
dlko231434m,125234,29281069999998998937600,11180000000000000000,0,29269889999999000903680
chenjonathanli,125054,29268349999998998413312,11180000000000000000,0,29257169999999000379392
tokic13,74125,28753774399998998347776,33264400000000000000,0,28720509999998998413312
rstormsf,7081,28227541899998998298624,140221900000000000000,0,28087319999998999920640
tkstanczak,7890,29725789999998999461888,1688339999999000051712,0,28037450000000002031616
stirling,110634,27474324699998001823744,34124699998999998464,0,27440199999999000444928
cryptogambit,84228,27115573999998001479680,33543999998999998464,0,27082029999998998937600
katiejohnson,50606,27108667299998998724608,55657300000000000000,0,27053009999999000379392
epsylon75,125186,27063302599999001460736,22362600000000000000,0,27040939999998999789568
0xtangerine,125202,26540299999999999082496,11180000000000000000,0,26529120000000001048576
siddigzeidan,19316,26681753099999998115840,217793100000000016384,0,26463960000000000262144
bneiluj,613,26863230899999001804800,550570899999999983616,0,26312659999998999527424
kaiynne,64456,27654909999998998413312,1424589999998999986176,0,26230320000000000524288
defi-dad,77430,31388699999998998216704,5285240000000000262144,0,26103459999998999003136
altvest,125172,25780205300000000835584,44725300000000000000,0,25735480000000001310720
snjax,67299,25725798899998999445504,144208900000000000000,0,25581589999999000772608
muskaankalra24,88982,25090335099999001509888,327625099999000002560,0,24762710000000001114112
kweiss,-93408,25287476899999998017536,578076899999999983616,0,24709399999999998164992
bonustrack,71632,25320650000000002031616,1101260000000000000000,0,24219390000000000851968
josh2k,91634,23633502599999999967232,52062600000000000000,0,23581440000000000000000
mikemcdonald,373,23812661399999999901696,362101400000000032768,0,23450560000000002097152
aceking2021,124979,22730449999999998623744,11180000000000000000,0,22719270000000000589824
gasperx93,72179,22801796199999999049728,245806200000000000000,0,22555990000000001114112
collinvine,1516,22541024599999999115264,74284600000000000000,0,22466739999999998820352
anettrolikova,60163,23174468799999000969216,943948800000000000000,0,22230519999999000969216
defidude,71724,23946780000000000655360,1886380000000000131072,0,22060399999999998427136
tayboonsiang90,77746,21692589999998998937600,11180000000000000000,0,21681409999999000903680
timimpalacrypto,125298,21692589999998998937600,11180000000000000000,0,21681409999999000903680
tina1998612,5955,21783712699998999150592,129042700000000000000,0,21654669999998999986176
tedko,68767,22123442099999001804800,479352099998999969792,0,21644090000000000458752
syroamst,85640,21713672799999999606784,197952800000000000000,0,21515719999999998689280
tjayrush,620,24504933299536999219200,2736480000000000000000,337963299536999940096,21430489999999999410176
fubuloubu,5473,21999956099999998148608,656146100000000049152,0,21343810000000001245184
