Date/Time Transaction,Organization Name,,Currency,Amount,TXID,User,USD Value
03/27/2020 12:57,Save the Children®,494,BTC,0.0015,9ca4e96dd9ad2fb19d6d6d0323848064ab44d1cf34c9a9c9881659327c80e35f,jonsats,10.13
03/31/2020 13:17,No Kid Hungry,493,BTC,0.0015,6b4a119950dc9b13edc351ca47e973e44b6c5d75948cc787092c9097f02c8b43,ceresstation,10.13
04/05/2020 19:40,International Medical Corps,656,BTC,0.0015,d9403756bc1d51f51ba693573847fe5ba17a9db9a11d4dfe99013fb669094f60,victoria-deluca,10.13
04/05/2020 19:36,No Kid Hungry,493,ETH,0.08,00663c7e83b1df89bc8ac100882049a24cea325dfa0e466eaf6add4cd2df478c,ceresstation,12.32
04/05/2020 19:40,Save the Children®,494,BTC,0.002,ff24d58c3dd0ea1ea4891253b315619f6ae40aab931a36b9b0f10d116266bbec,victoria-deluca,13.50
03/23/2020 22:30,"SOS Children's Villages
",,ETH,0.09,64ff1a20775f1c1c78bf3c822eb2e1927f5296020318a0c1ae09bfe5f323e318,zayirey,13.86
03/23/2020 15:08,Save the Children®,494,ETH,0.1,30c1499fde69d4935b711e89011003072eb74ca90ffd4af24cc03b3f9e0ec70a,zayirey,15.40
03/23/2020 18:45,Save the Children®,494,BCH,0.1,ed2f39f7560bf96a0279b7837f3645f06f1d2630b881ef8761704896f20c77d4,zayirey,15.40
03/24/2020 02:51,No Kid Hungry,,ETH,0.1,846221f39dd5f32fa55449395cb499eb0fa5dda17a96e1ba9728e620150d0807,zayirey,15.40
04/07/2020 21:25,Rainforest Foundation US,,ETH,0.1,468de227bc0cbf4648dc0c4020f0aa309d5a2951940760376ccf04417e4a4ae4,victoria-deluca,15.40
04/09/2020 18:18,No Kid Hungry,,ETH,0.1,63e9921708b099156403fd91149aeac532babbfa4582d4b6f6df597dc784ccff,owocki,15.40
03/25/2020 17:27,US4Warriors,,BTC,0.0033,c83a5ccdbd7983699f5b2b07d2f52962286f956bc34c3a1af789c09aa5161f5a,zayirey,22.28
03/25/2020 18:24,No Kid Hungry,,BTC,0.0033,b602c7f92d1e7005ad193cb629578cce86add403d691c0de6c132a4c5d853fdf,jonsats,22.28
04/09/2020 22:27,Team Rubicon,,ETH,0.15,7eaa2e8ca900294a227861ccb1c8d105c601e533ee4de1a67503b86649b0aef7,owocki,23.10
03/23/2020 01:52,Save the Children®,,BTC,0.004,3156820ac5c6ef1950ffac853f056c08be47223385430def2d5779298ad7cd3c,zayirey,27.00
03/24/2020 15:13,No Kid Hungry,,ZEC,1,145a46b8b7a5cfe5a41f298dfd20054e85a6f486f91f39b09d142daa47426570,zayirey,35.00
03/25/2020 23:28,No Kid Hungry,,ZEC,1,5128952c59b4a5a3950450adffa3fb6b4baabb8554aa5eddb00cb48d8abe929e,jonsats,35.00
04/10/2020 4:27,Save the Children®,,ETH,0.2594356516,5151b04417dca37fbad5a0541d6314e692fa680977fb0be0825fe15c146d05be,ceresstation,39.95
04/09/2020 16:40,The Water Project,,BTC,0.00598043,ec05d37e2ebb7b898d115e5bee0630d401b4c37472344cc7d34ed8e3f60d009b,vs77bb,40.37
04/07/2020 18:11,No Kid Hungry,,BTC,0.006,0196ecd252389af1ccde2a638d4ffc96077ad346133f515f7ad506655a43a4cd,victoria-deluca,40.50
04/09/2020 16:07,No Kid Hungry,,ETH,0.28,4387f1ab37edd30a3307ac60a4dd80286fa14b5c1bd277f18c78fdd2e3a3f9da,vs77bb,43.12
04/09/2020 16:31,Save the Children®,,BTC,0.0068,8b456cb93e8d7f16967207f779da3e614516db9fc338ca3a1d8d57fc90827914,vs77bb,45.90
04/10/2020 4:14,Team Rubicon,,ETH,0.3,670ae6c6f72a925460eb0de8c8faa883d3f18e1e5bff216d5c20d4e5990b44d8,ceresstation,46.20
